Logging overview + all games to file
Deck used: "boros_burn"
Overview of games:
 GameNum      Turns     Creatures    Oneshots    MissedLands 
   310           5           4           2           4
     2           5           2           4           0
     3           3           2           3           0
     4           4           2           4           0
     5           3           3           3           0
     6           5           3           3           2
     7           3           3           2           0
     8           3           3           2           0
     9           4           2           4           2
    10           5           2           5           0
    11           3           3           3           1
    12           3           2           3           0
    13           3           2           4           0
    14           4           1           4           0
    15           6           1           5           0
    16           3           2           3           1
    17           4           2           3           0
    18           4           2           4           1
    19           5           1           4           0
    20           4           2           3           0
    21           5           1           5           1
    22           4           1           4           0
    23           5           1           4           0
    24           4           1           4           1
    25           4           3           4           1
    26           4           1           4           0
    27           5           1           5           0
    28           4           1           4           0
    29           5           2           4           0
    30           4           1           4           0
    31           4           2           4           1
    32           3           3           3           0
    33           3           3           3           0
    34           3           2           3           1
    35           5           1           4           0
    36           3           2           3           0
    37           5           1           5           1
    38           3           2           3           0
    39           3           3           2           0
    40           3           3           3           0
    41           3           2           4           0
    42           4           2           4           0
    43           6           0           6           2
    44           3           3           2           0
    45           3           2           3           0
    46           4           2           3           1
    47           4           3           3           0
    48           4           2           4           0
    49           4           1           4           0
    50           4           1           4           0
    51           4           1           4           1
    52           4           2           4           1
    53           4           1           4           1
    54           3           2           3           1
    55           4           1           5           0
    56           3           2           3           0
    57           3           2           3           0
    58           3           2           4           0
    59           5           1           5           0
    60           3           3           3           0
    61           3           3           3           1
    62           3           2           3           1
    63           4           1           5           1
    64           3           3           2           0
    65           4           1           4           1
    66           4           2           4           0
    67           4           1           4           0
    68           3           2           3           0
    69           4           1           4           1
    70           4           3           4           1
    71           4           2           4           1
    72           3           3           3           0
    73           4           2           2           0
    74           5           3           3           0
    75           4           2           4           0
    76           4           2           4           0
    77           4           1           4           0
    78           3           2           3           1
    79           3           3           1           0
    80           4           1           4           1
    81           3           2           4           0
    82           4           1           4           0
    83           4           2           4           0
    84           4           2           2           0
    85           3           3           3           0
    86           6           1           6           3
    87           5           1           4           0
    88           4           3           4           1
    89           4           3           2           0
    90           4           2           4           0
    91           6           0           7           0
    92           4           1           4           1
    93           4           2           4           0
    94           4           2           4           0
    95           3           3           3           0
    96           4           2           4           0
    97           3           2           4           0
    98           4           2           3           1
    99           4           2           3           2
   100           5           2           3           0
   101           6           1           6           0
   102           4           1           4           2
   103           4           2           4           1
   104           4           1           5           0
   105           3           2           3           0
   106           4           2           4           0
   107           7           0           7           3
   108           4           3           2           0
   109           6           1           4           1
   110           3           2           3           0
   111           5           1           4           0
   112           5           2           3           1
   113           3           3           3           0
   114           4           2           5           0
   115           3           3           3           0
   116           3           2           3           0
   117           4           2           3           0
   118           4           1           5           0
   119           3           4           1           0
   120           3           2           3           0
   121           3           3           3           0
   122           4           1           4           0
   123           5           1           6           1
   124           3           3           2           1
   125           4           1           4           0
   126           4           1           5           1
   127           4           1           5           0
   128           3           4           2           0
   129           5           1           4           0
   130           4           1           4           0
   131           3           2           3           0
   132           4           3           3           0
   133           4           1           5           0
   134           4           2           3           0
   135           4           3           4           1
   136           4           2           4           2
   137           3           2           3           0
   138           4           3           4           1
   139           4           2           3           0
   140           3           2           3           1
   141           6           1           6           2
   142           4           1           4           2
   143           3           2           3           2
   144           3           2           3           0
   145           4           2           3           0
   146           5           1           5           0
   147           6           2           6           3
   148           3           3           3           0
   149           4           1           4           0
   150           6           1           5           0
   151           4           2           4           0
   152           3           3           2           0
   153           5           2           3           0
   154           5           1           4           1
   155           5           1           4           0
   156           3           3           2           0
   157           3           2           3           1
   158           4           2           5           1
   159           4           2           3           0
   160           4           3           4           2
   161           5           1           4           0
   162           3           2           3           0
   163           4           1           4           0
   164           5           2           4           0
   165           3           2           3           1
   166           4           1           4           0
   167           4           2           4           0
   168           3           3           3           0
   169           3           3           3           1
   170           3           2           3           0
   171           3           3           2           0
   172           3           2           3           1
   173           4           2           4           0
   174           4           1           4           0
   175           4           1           4           1
   176           4           2           4           0
   177           4           2           3           0
   178           5           1           5           0
   179           5           1           4           0
   180           4           1           4           1
   181           5           1           4           0
   182           4           2           5           0
